Period,Market,primary_submarket,secondary_submarket,property_type,total_inventory_q,vacancy_q,net_absorption_q,under_construction_q,rent_q,delivered_q,leasing_activity_q
2022 H2,Colorado Springs,CBD,,Industrial,10000,0.0,,,0.0,,
2022 H2,Colorado Springs,Central,,Industrial,2823295,0.038,,207000.0,9.46,,
2022 H2,Colorado Springs,East,,Industrial,2733333,0.004,,,9.31,,
2022 H2,Colorado Springs,Falcon,,Industrial,43475,0.0,,,31.5,,
2022 H2,Colorado Springs,Fountain/Security/Widefield,,Industrial,1585616,0.128,,,7.95,,
2022 H2,Colorado Springs,Greater Downtown,,Industrial,1612747,0.01,,,7.88,,
2022 H2,Colorado Springs,Northeast,,Industrial,2620672,0.044,,,12.56,,
2022 H2,Colorado Springs,Northwest,,Industrial,8020249,0.027,,,10.05,,
2022 H2,Colorado Springs,Southeast,,Industrial,12060490,0.033,,20000.0,9.01,,
2022 H2,Colorado Springs,Southwest,,Industrial,1162639,0.0,,,,,
2022 H2,Colorado Springs,Tri-Lakes,,Industrial,270563,0.06,,12500.0,8.99,,
2022 H2,Colorado Springs,West Side/Manitou,,Industrial,718512,0.006,,,12.0,,
2022 H2,Colorado Springs,Colorado Springs,,Industrial,33670591,0.032,,239500.0,9.73,,
2022 H2,Norfolk,Southside,,Warehouse,50787750,0.007,225538.0,3810201.0,7.61,,
2022 H2,Norfolk,Peninsula,,Warehouse,15739469,0.028,223792.0,373536.0,7.09,,
2022 H2,Norfolk,Norfolk,Overall,Warehouse,66805889,0.012,449330.0,4183737.0,7.47,,
2022 H2,Norfolk,Southside,,Flex,9910563,0.068,-52993.0,0.0,10.66,,
2022 H2,Norfolk,Peninsula,,Flex,2374219,0.062,-42936.0,0.0,8.71,,
2022 H2,Norfolk,Norfolk,Overall,Flex,12284782,0.067,-95929.0,0.0,10.34,,
2022 H2,Norfolk,Southside,,Industrial,60976983,0.017,172545.0,3810201.0,8.77,,
2022 H2,Norfolk,Peninsula,,Industrial,18113688,0.032,180856.0,373536.0,,,
2022 H2,Norfolk,Norfolk,Overall,Industrial,79090671,0.02,353401.0,4183737.0,8.46,,
2022 H2,Tulsa,Bartlesville,,Industrial,2980433,0.034,5000.0,0.0,3.32,,
2022 H2,Tulsa,CBD,,Industrial,1670724,0.102,40.0,0.0,4.81,,
2022 H2,Tulsa,East,,Industrial,4599748,0.011,11046.0,0.0,6.53,31500.0,
2022 H2,Tulsa,Mayes County,,Industrial,4205354,0.002,,0.0,6.65,,
2022 H2,Tulsa,Midtown,,Industrial,125284,0.063,13288.0,0.0,5.74,,
2022 H2,Tulsa,Muskogee County,,Industrial,6193351,0.054,,0.0,2.34,,
2022 H2,Tulsa,North Central,,Industrial,6665075,0.051,37005.0,0.0,4.75,,
2022 H2,Tulsa,Northeast,,Industrial,38573561,0.023,92422.0,684616.0,5.29,57600.0,
2022 H2,Tulsa,Northwest,,Industrial,6073873,0.018,-2082.0,0.0,4.9,,
2022 H2,Tulsa,South,,Industrial,2950615,0.024,-3964.0,0.0,6.61,35000.0,
2022 H2,Tulsa,South Central,,Industrial,13460211,0.041,111766.0,0.0,5.8,,
2022 H2,Tulsa,Southeast,,Industrial,16188706,0.02,-8159.0,169400.0,6.44,,
2022 H2,Tulsa,Southwest,,Industrial,17960095,0.022,-95951.0,0.0,5.05,,
2022 H2,Tulsa,Outlying Market Area,,Industrial,8392603,0.046,7400.0,0.0,2.73,,
2022 H2,Tulsa,Tulsa,,Industrial,130039633,0.029,167811.0,854016.0,5.17,124100.0,
